,iso_code_x,continent,location,date,new_cases,new_deaths,iso_code_y,monthly_total_vaccination,monthly_people_vaccinated
0,ABW,North America,Aruba,2020-03,55.0,0.0,,0.0,0.0
1,ABW,North America,Aruba,2020-04,45.0,2.0,,0.0,0.0
2,ABW,North America,Aruba,2020-05,1.0,1.0,,0.0,0.0
3,ABW,North America,Aruba,2020-06,2.0,0.0,,0.0,0.0
4,ABW,North America,Aruba,2020-07,18.0,0.0,,0.0,0.0
5,ABW,North America,Aruba,2020-08,1885.0,7.0,,0.0,0.0
6,ABW,North America,Aruba,2020-09,1957.0,17.0,,0.0,0.0
7,ABW,North America,Aruba,2020-10,550.0,12.0,,0.0,0.0
8,ABW,North America,Aruba,2020-11,332.0,7.0,,0.0,0.0
9,ABW,North America,Aruba,2020-12,644.0,4.0,,0.0,0.0
10,ABW,North America,Aruba,2021-01,1477.0,10.0,,0.0,0.0
11,ABW,North America,Aruba,2021-02,925.0,14.0,,0.0,0.0
12,ABW,North America,Aruba,2021-03,1552.0,13.0,ABW,25766.0,15600.0
13,ABW,North America,Aruba,2021-04,1195.0,13.0,ABW,51099.0,38706.0
14,ABW,North America,Aruba,2021-05,347.0,8.0,ABW,37289.0,8807.0
15,ABW,North America,Aruba,2021-06,153.0,0.0,ABW,13102.0,4714.0
16,ABW,North America,Aruba,2021-07,592.0,3.0,ABW,11253.0,4966.0
17,ABW,North America,Aruba,2021-08,2846.0,36.0,ABW,9716.0,5876.0
18,ABW,North America,Aruba,2021-09,924.0,20.0,ABW,7954.0,2705.0
19,ABW,North America,Aruba,2021-10,425.0,5.0,ABW,3227.0,1276.0
20,ABW,North America,Aruba,2021-11,429.0,3.0,ABW,2237.0,990.0
21,ABW,North America,Aruba,2021-12,4107.0,7.0,ABW,2116.0,1111.0
22,ABW,North America,Aruba,2022-01,12539.0,12.0,ABW,2681.0,1876.0
23,ABW,North America,Aruba,2022-02,684.0,18.0,ABW,1380.0,751.0
24,ABW,North America,Aruba,2022-03,282.0,1.0,ABW,1521.0,541.0
25,ABW,North America,Aruba,2022-04,623.0,59.0,ABW,911.0,429.0
26,AFG,Asia,Afghanistan,2020-02,5.0,0.0,,0.0,0.0
27,AFG,Asia,Afghanistan,2020-03,163.0,4.0,,0.0,0.0
28,AFG,Asia,Afghanistan,2020-04,1661.0,56.0,,0.0,0.0
