,continent,location,date,new_cases,new_deaths,monthly_total_vaccination,monthly_people_vaccinated
0,Africa,Algeria,2020-02,1.0,0.0,0.0,0.0
1,Africa,Algeria,2020-03,715.0,44.0,0.0,0.0
2,Africa,Algeria,2020-04,3290.0,406.0,0.0,0.0
3,Africa,Algeria,2020-05,5388.0,203.0,0.0,0.0
4,Africa,Algeria,2020-06,4513.0,259.0,0.0,0.0
5,Africa,Algeria,2020-07,16487.0,298.0,0.0,0.0
6,Africa,Algeria,2020-08,14100.0,300.0,0.0,0.0
7,Africa,Algeria,2020-09,7036.0,226.0,0.0,0.0
8,Africa,Algeria,2020-10,6412.0,228.0,0.0,0.0
9,Africa,Algeria,2020-11,25257.0,467.0,0.0,0.0
10,Africa,Algeria,2020-12,16411.0,325.0,0.0,0.0
11,Africa,Algeria,2021-01,7729.0,135.0,30.0,30.0
12,Africa,Algeria,2021-02,5753.0,92.0,74970.0,74970.0
13,Africa,Algeria,2021-03,4100.0,110.0,0.0,0.0
14,Africa,Algeria,2021-04,4916.0,160.0,0.0,0.0
15,Africa,Algeria,2021-05,6805.0,219.0,0.0,0.0
16,Africa,Algeria,2021-06,10713.0,244.0,0.0,0.0
17,Africa,Algeria,2021-07,31766.0,538.0,0.0,0.0
18,Africa,Algeria,2021-08,24688.0,1015.0,4071091.0,3346279.0
19,Africa,Algeria,2021-09,7279.0,543.0,5903887.0,2595757.0
20,Africa,Algeria,2021-10,3093.0,108.0,1129376.0,347291.0
21,Africa,Algeria,2021-11,4079.0,151.0,1113706.0,510676.0
22,Africa,Algeria,2021-12,7901.0,205.0,252296.0,185734.0
23,Africa,Algeria,2022-01,33685.0,303.0,429189.0,187050.0
24,Africa,Algeria,2022-02,12819.0,256.0,657138.0,208574.0
25,Africa,Algeria,2022-03,735.0,39.0,73212.0,5571.0
26,Africa,Algeria,2022-04,101.0,1.0,0.0,0.0
27,Africa,Angola,2020-03,7.0,2.0,0.0,0.0
28,Africa,Angola,2020-04,20.0,0.0,0.0,0.0
29,Africa,Angola,2020-05,59.0,2.0,0.0,0.0
30,Africa,Angola,2020-06,198.0,9.0,0.0,0.0
31,Africa,Angola,2020-07,864.0,39.0,0.0,0.0
32,Africa,Angola,2020-08,1506.0,56.0,0.0,0.0
33,Africa,Angola,2020-09,2318.0,75.0,0.0,0.0
34,Africa,Angola,2020-10,5833.0,104.0,0.0,0.0
35,Africa,Angola,2020-11,4334.0,64.0,0.0,0.0
36,Africa,Angola,2020-12,2414.0,57.0,0.0,0.0
37,Africa,Angola,2021-01,2243.0,61.0,0.0,0.0
38,Africa,Angola,2021-02,1011.0,42.0,0.0,0.0
39,Africa,Angola,2021-03,1504.0,29.0,130750.0,130750.0
40,Africa,Angola,2021-04,4341.0,59.0,325599.0,325599.0
41,Africa,Angola,2021-05,7899.0,170.0,452866.0,222685.0
42,Africa,Angola,2021-06,4298.0,134.0,579077.0,264267.0
43,Africa,Angola,2021-07,3928.0,111.0,104245.0,15072.0
44,Africa,Angola,2021-08,4767.0,206.0,249031.0,152185.0
45,Africa,Angola,2021-09,9039.0,320.0,1292569.0,1016847.0
46,Africa,Angola,2021-10,7850.0,173.0,3030082.0,2370867.0
47,Africa,Angola,2021-11,735.0,23.0,2862091.0,1767772.0
48,Africa,Angola,2021-12,16425.0,37.0,2588834.0,1419373.0
49,Africa,Angola,2022-01,16523.0,125.0,2973291.0,2028129.0
50,Africa,Angola,2022-02,625.0,5.0,1671171.0,877718.0
51,Africa,Angola,2022-03,428.0,0.0,1275805.0,643795.0
52,Africa,Angola,2022-04,118.0,0.0,1221482.0,564778.0
53,Africa,Benin,2020-03,9.0,0.0,0.0,0.0
54,Africa,Benin,2020-04,55.0,1.0,0.0,0.0
55,Africa,Benin,2020-05,377.0,2.0,0.0,0.0
56,Africa,Benin,2020-06,967.0,18.0,0.0,0.0
57,Africa,Benin,2020-07,606.0,15.0,0.0,0.0
58,Africa,Benin,2020-08,340.0,4.0,0.0,0.0
