,continent,location,date,total_cases,total_deaths,new_cases,new_deaths
0,Africa,Algeria,2022-04,265772.0,6875.0,1.0,0.0
1,Africa,Angola,2022-04,99287.0,1900.0,0.0,0.0
2,Africa,Benin,2022-04,26952.0,163.0,0.0,0.0
3,Africa,Botswana,2022-04,305859.0,2688.0,0.0,0.0
4,Africa,Burkina Faso,2022-04,20865.0,383.0,0.0,0.0
5,Africa,Burundi,2022-04,39634.0,38.0,2.0,0.0
6,Africa,Cameroon,2022-04,119780.0,1927.0,0.0,0.0
7,Africa,Cape Verde,2022-04,56010.0,401.0,2.0,0.0
8,Africa,Central African Republic,2022-04,14649.0,113.0,0.0,0.0
9,Africa,Chad,2022-04,7411.0,193.0,0.0,0.0
10,Africa,Comoros,2022-04,8105.0,160.0,0.0,0.0
11,Africa,Congo,2022-04,24079.0,385.0,0.0,0.0
12,Africa,Cote d'Ivoire,2022-04,81909.0,799.0,11.0,0.0
13,Africa,Democratic Republic of Congo,2022-04,87023.0,1337.0,0.0,0.0
14,Africa,Djibouti,2022-04,15611.0,189.0,0.0,0.0
15,Africa,Egypt,2022-04,515645.0,24613.0,0.0,0.0
16,Africa,Equatorial Guinea,2022-04,15907.0,183.0,0.0,0.0
17,Africa,Eritrea,2022-04,9734.0,103.0,0.0,0.0
18,Africa,Eswatini,2022-04,70354.0,1397.0,51.0,0.0
19,Africa,Ethiopia,2022-04,470468.0,7510.0,26.0,0.0
20,Africa,Gabon,2022-04,47597.0,303.0,0.0,0.0
21,Africa,Gambia,2022-04,11995.0,365.0,0.0,0.0
22,Africa,Ghana,2022-04,161157.0,1445.0,0.0,0.0
23,Africa,Guinea,2022-04,36540.0,441.0,0.0,0.0
24,Africa,Guinea-Bissau,2022-04,8186.0,171.0,0.0,0.0
25,Africa,Kenya,2022-04,323723.0,5649.0,5.0,0.0
26,Africa,Lesotho,2022-04,32968.0,697.0,0.0,0.0
27,Africa,Liberia,2022-04,7434.0,294.0,2.0,0.0
28,Africa,Libya,2022-04,501904.0,6430.0,42.0,1.0
29,Africa,Madagascar,2022-04,64152.0,1391.0,0.0,0.0
30,Africa,Malawi,2022-04,85752.0,2633.0,5.0,0.0
31,Africa,Mali,2022-04,30769.0,731.0,17.0,0.0
32,Africa,Mauritania,2022-04,58686.0,982.0,1.0,0.0
33,Africa,Mauritius,2022-04,220344.0,990.0,2115.0,0.0
34,Africa,Morocco,2022-04,1164774.0,16066.0,57.0,0.0
35,Africa,Mozambique,2022-04,225367.0,2201.0,1.0,0.0
36,Africa,Namibia,2022-04,158427.0,4025.0,48.0,0.0
37,Africa,Niger,2022-04,8921.0,309.0,5.0,0.0
38,Africa,Nigeria,2022-04,255685.0,3143.0,0.0,0.0
39,Africa,Rwanda,2022-04,129788.0,1459.0,3.0,0.0
40,Africa,Saint Helena,2022-04,4.0,0.0,0.0,0.0
41,Africa,Sao Tome and Principe,2022-04,5957.0,73.0,0.0,0.0
42,Africa,Senegal,2022-04,85991.0,1967.0,2.0,0.0
43,Africa,Seychelles,2022-04,42474.0,166.0,238.0,1.0
44,Africa,Sierra Leone,2022-04,7681.0,125.0,0.0,0.0
45,Africa,Somalia,2022-04,26485.0,1361.0,0.0,0.0
46,Africa,South Africa,2022-04,3769927.0,100348.0,5062.0,15.0
47,Africa,South Sudan,2022-04,17445.0,138.0,2.0,0.0
48,Africa,Sudan,2022-04,62117.0,4931.0,24.0,1.0
49,Africa,Tanzania,2022-04,33872.0,803.0,8.0,0.0
50,Africa,Togo,2022-04,36981.0,273.0,2.0,0.0
51,Africa,Tunisia,2022-04,1040193.0,28550.0,661.0,17.0
52,Africa,Uganda,2022-04,164069.0,3597.0,0.0,0.0
53,Africa,Western Sahara,2022-04,0.0,0.0,0.0,0.0
54,Africa,Zambia,2022-04,319431.0,3976.0,115.0,0.0
55,Africa,Zimbabwe,2022-04,247667.0,5469.0,69.0,1.0
56,Asia,Afghanistan,2022-04,178769.0,7683.0,24.0,0.0
57,Asia,Armenia,2022-04,422838.0,8622.0,10.0,0.0
58,Asia,Azerbaijan,2022-04,792502.0,9707.0,6.0,0.0
59,Asia,Bahrain,2022-04,567173.0,1475.0,494.0,0.0
60,Asia,Bangladesh,2022-04,1952602.0,29127.0,19.0,0.0
61,Asia,Bhutan,2022-04,58373.0,20.0,464.0,0.0
62,Asia,Brunei,2022-04,141405.0,218.0,136.0,0.0
63,Asia,Cambodia,2022-04,136230.0,3056.0,2.0,0.0
64,Asia,China,2022-04,868863.0,4828.0,29609.0,52.0
65,Asia,Georgia,2022-04,1654375.0,16800.0,62.0,0.0
66,Asia,Hong Kong,2022-04,1202638.0,9274.0,347.0,7.0
67,Asia,India,2022-04,43065496.0,523654.0,5399.0,1431.0
68,Asia,Indonesia,2022-04,6045043.0,156163.0,576.0,30.0
69,Asia,Iran,2022-04,7218424.0,141024.0,1307.0,28.0
70,Asia,Iraq,2022-04,2324531.0,25208.0,147.0,1.0
71,Asia,Israel,2022-04,4066014.0,10694.0,3743.0,21.0
72,Asia,Japan,2022-04,7721795.0,29409.0,40432.0,65.0
73,Asia,Jordan,2022-04,1695745.0,14064.0,313.0,5.0
74,Asia,Kazakhstan,2022-04,1394367.0,19013.0,0.0,0.0
