,continent,location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated_per_hundred,total_boosters,total_boosters_per_hundred
0,Asia,Afghanistan,2021-02,8200.0,8200.0,,0.02,,34.0,0.003,,
1,Asia,Afghanistan,2021-03,54000.0,54000.0,,0.14,,72.0,0.007,,
2,Asia,Afghanistan,2021-04,240000.0,240000.0,,0.6,,201.0,0.02,,
3,Asia,Afghanistan,2021-05,600152.0,480226.0,119926.0,1.21,0.3,119.0,0.002,,
4,Asia,Afghanistan,2021-06,886854.0,699200.0,187654.0,1.76,0.47,384.0,0.037,,
5,Asia,Afghanistan,2021-07,962093.0,742934.0,219159.0,1.87,0.55,187.0,0.008,,
6,Asia,Afghanistan,2021-08,1979652.0,773002.0,430744.0,1.94,1.08,1776.0,0.001,,
7,Asia,Afghanistan,2021-09,2369625.0,828601.0,,2.08,,326.0,0.005,,
8,Asia,Afghanistan,2021-11,4018197.0,3530173.0,3188609.0,8.86,8.0,920.0,0.151,,
9,Asia,Afghanistan,2021-12,4674518.0,4142857.0,3753224.0,10.4,9.42,383.0,0.036,,
10,Asia,Afghanistan,2022-01,5125146.0,4554648.0,3892831.0,11.43,9.77,284.0,0.024,,
11,Asia,Afghanistan,2022-02,5535254.0,4907058.0,4231984.0,12.32,10.62,441.0,0.038,,
12,Asia,Afghanistan,2022-03,5751015.0,5082824.0,4420127.0,12.76,11.1,159.0,0.013,,
13,Asia,Afghanistan,2022-04,5948889.0,5253929.0,4603187.0,13.19,11.56,103.0,0.009,,
30,Europe,Albania,2021-01,549.0,549.0,,0.02,,14.0,0.001,,
31,Europe,Albania,2021-02,6728.0,6073.0,655.0,0.21,0.02,257.0,0.025,,
32,Europe,Albania,2021-05,776461.0,486128.0,290333.0,16.92,10.11,2552.0,0.054,,
33,Europe,Albania,2021-06,968034.0,564530.0,403504.0,19.65,14.05,2743.0,0.161,,
34,Europe,Albania,2021-07,1198933.0,670215.0,528718.0,23.33,18.4,3472.0,0.176,,
35,Europe,Albania,2021-08,1472316.0,830396.0,641920.0,28.9,22.34,3776.0,0.164,,
36,Europe,Albania,2021-09,1741373.0,946495.0,794878.0,32.95,27.67,2871.0,0.084,,
37,Europe,Albania,2021-10,1901824.0,1013959.0,887865.0,35.29,30.9,1784.0,0.097,,
38,Europe,Albania,2021-11,2101039.0,1072645.0,961013.0,37.34,33.45,1714.0,0.043,67381.0,2.35
39,Europe,Albania,2021-12,2316606.0,1141486.0,1031132.0,39.73,35.89,2291.0,0.076,143988.0,5.01
40,Europe,Albania,2022-01,2523683.0,1210040.0,1111520.0,42.12,38.69,1904.0,0.049,202123.0,7.04
41,Europe,Albania,2022-02,2702638.0,1269746.0,1196277.0,44.2,41.64,941.0,0.019,236615.0,8.24
42,Europe,Albania,2022-03,2766890.0,1281331.0,1218665.0,44.6,42.42,629.0,0.012,266894.0,9.29
43,Europe,Albania,2022-04,2801345.0,1288846.0,1226046.0,44.86,42.68,501.0,0.011,286453.0,9.97
44,Africa,Algeria,2021-01,30.0,30.0,,0.0,,1.0,0.0,,
45,Africa,Algeria,2021-02,75000.0,75000.0,,0.17,,84.0,0.008,,
46,Africa,Algeria,2021-08,4146091.0,3421279.0,724812.0,7.67,1.62,501.0,0.041,,
47,Africa,Algeria,2021-09,10049978.0,6017036.0,4032942.0,13.49,9.04,104.0,0.035,,
48,Africa,Algeria,2021-10,11179354.0,6364327.0,4815027.0,14.26,10.79,430.0,0.015,,
49,Africa,Algeria,2021-11,12293060.0,6875003.0,5391232.0,15.41,12.08,787.0,0.054,25381.0,0.06
50,Africa,Algeria,2021-12,12545356.0,7060737.0,5609040.0,15.83,12.57,346.0,0.013,,
51,Africa,Algeria,2022-01,12974545.0,7247787.0,5796432.0,16.24,12.99,506.0,0.022,,
52,Africa,Algeria,2022-02,13631683.0,7456361.0,6076272.0,16.71,13.62,318.0,0.01,,
53,Africa,Algeria,2022-03,13704895.0,7461932.0,6110712.0,16.72,13.7,97.0,0.001,490676.0,1.1
54,Europe,Andorra,2021-01,576.0,576.0,,0.74,,,,,
55,Europe,Andorra,2021-02,2390.0,2390.0,,3.09,,737.0,0.074,,
56,Europe,Andorra,2021-03,8363.0,7098.0,1265.0,9.18,1.64,8778.0,0.861,,
57,Europe,Andorra,2021-04,28503.0,23822.0,4681.0,30.8,6.05,3852.0,0.385,,
58,Europe,Andorra,2021-05,35916.0,27613.0,8303.0,35.7,10.73,3322.0,0.0,,
